understat_id,tm_id,note
7332,525247,direct: Max Kilman
2385,128969,direct: Mat Ryan
8864,425334,direct: Matthew Cash
752,73491,direct: Daniel Drinkwater
7230,392765,direct: Emile Smith-Rowe
7967,466810,direct: Anssumane Fati
9451,711999,direct: Chimuanya Ugochukwu
11735,743591,direct: Sávio
10766,468198,direct: Joe Ayodele-Aribo
4441,73522,direct: Matthew James
792,45395,direct: Jonny Howson
8722,129604,direct: Ezgjan Alioski
4393,126643,direct: Yun Suk-Young
9415,665390,direct: Jaden Philogene-Bidace
12752,292139,direct: Sammie Szmodics
2269,74229,direct: Koke
2261,121483,direct: Jan Oblak
2275,266807,direct: Ángel Correa
1505,28021,direct: Samir Handanovic
3297,181767,direct: Marquinhos
212,192635,direct: Nico Elvedi
3423,342229,direct: Kylian Mbappe-Lottin
1511,156617,direct: Marcelo Brozovic
2278,250845,direct: Giménez
7006,406625,direct: Lautaro Martínez
1513,68863,direct: Mauro Icardi
131,108537,direct: Jonas Hector
1246,104752,direct: Kostas Manolas
3552,102558,direct: Marco Verratti
5243,344695,direct: Dayotchanculle Upamecano
3464,120651,direct: Vincent Le Goff
420,32711,direct: Patrick Herrmann
206,19305,direct: Oscar Wendt
7065,278332,direct: Florian Neuhaus
3721,353399,direct: Romain Del Castillo
5044,67080,direct: Víctor Laguardia
7870,278837,direct: Luis Rioja
4811,178313,direct: Jean Eudes Aholou
7736,250779,direct: Brendan Chardonnet
3599,282041,direct: Presnel Kimpembe
8640,654539,direct: Adrien Truffert
5742,474662,direct: Hugo Magnetti
5045,76273,direct: Manu García
9614,124884,direct: Marco Bizot
5803,296422,direct: Fode Toure
7831,85791,direct: Stefan Lainer
2268,22969,direct: Gabi
5126,160182,direct: José Ángel
4882,238626,direct: Laurent Abergel
1507,33357,direct: Miranda
2262,16635,direct: Juanfran
5198,483573,direct: Martín Aguirregabiria
7142,229004,direct: Moussa Dembele
201,47587,direct: Tony Jantschke
8657,737781,direct: Jeremy Le Douaron
9840,321528,direct: Denzel Dumfries
3463,255220,direct: Romain Philippoteaux
210,19819,direct: Raffael
9674,504153,direct: Joe Scally
8731,254037,direct: Isaac Carcelén
8741,252667,direct: Fali
3391,40014,direct: Jacques-Alaixys Romao
2342,28947,direct: Gonzalo Castro
8205,472249,direct: Jan Thielmann
9060,141050,direct: Danilo Pereira
3292,7602,direct: Thiago Motta
8650,386057,direct: Julien Laporte
132,1126,direct: Matthias Lehmann
327,31041,direct: Fabian Johnson
2348,7914,direct: Carlos Kameni
8702,384060,direct: Tinotenda Kadewere
207,47285,direct: Ibrahima Traoré
3219,39906,direct: Romain Danze
5686,293944,direct: Digbo Maiga
10016,708265,direct: Bradley Barcola
10948,522784,direct: Valentín Castellanos
10095,724520,direct: Abdessamad Ezzalzouli
8703,702441,direct: Sinaly Diomande
134,51176,direct: Marcel Risse
4376,160929,direct: Marvin Schwäbe
10431,914562,direct: Désiré Doué
8656,282250,direct: Birger Meling
5770,346291,direct: James Edward Lea Siliki
9797,287188,direct: Dejan Ljubicic
10701,131225,direct: Nicolás Tagliafico
3458,98315,direct: Walid Mesloub
10786,810092,direct: Warren Zaïre-Emery
9961,616341,direct: Nuno Mendes
6075,298197,direct: Antonio Sivera
130,41023,direct: Dominic Maroh
5114,34601,direct: Raúl García
10494,775605,direct: Pablo Barrios Rivas
10542,670882,direct: Jamie Bynoe-Gittens
9491,Omari,direct: Warmed Omari
10727,355816,direct: Ko Itakura
3289,4317,direct: Maxwell
10364,533568,direct: Nahuel Tenaglia
3285,353404,direct: Gaetan Perrin
7786,84150,direct: Rafael Czichos
3220,3525,direct: Sylvain Armand
2334,45305,direct: Miguel Torres
2345,7782,direct: Duda
10812,149928,direct: Jubal
10815,569140,direct: Lassine Sinayoko
128,117469,direct: Pawel Olkowski
12030,523318,direct: Tasos Douvikas
3788,288237,direct: Jeremy Gelin
6860,434358,direct: Sofiane Alakouch
2082,96533,direct: Youssef El-Arabi
2332,22550,direct: Weligton
8826,467434,direct: Rocco Reitz
9873,496706,direct: Montassar Talbi
11015,569390,direct: Julien Ponceau
3607,60539,direct: Lamine Gassama
7788,153678,direct: Kingsley Schindler
9053,597000,direct: Eric Martel
3282,20622,direct: Arnold Mvuemba
6862,347594,direct: Florian Miguel
7893,122043,direct: Héctor Herrera
2273,8538,direct: Tiago
6868,412092,direct: Gaetan Paquiez
8737,148355,direct: Jens Jonsson
11819,187718,direct: Clinton Mata
3186,40687,direct: Mathieu Valbuena
8652,428954,direct: Stéphane Diarra
9297,559979,direct: Abdelkabir Abqar
7729,Faussurier,direct: Julien Faussurier
12294,540536,direct: Carlos Vicente
6866,341396,direct: Theo Valls
3459,Barthelmé,direct: Maxime Barthelme
4828,Autret,direct: Mathias Autret
7784,54996,direct: Joao Victor
9929,766412,direct: Théo Le Bris
3454,81663,direct: Zargo Toure
12060,955070,direct: Ernest Nuamah
11157,951579,direct: Sael Kumbedi
11767,550550,direct: Gonçalo Ramos
11074,678479,direct: Denis Huseinbasic
8653,167342,direct: Adrian Grbic
11846,544148,direct: Tomás Cvancara
2338,261927,direct: Ricardo Horta
10843,395685,direct: Gédéon Kalulu
11371,928323,direct: Ibrahim Salah
9796,742201,direct: Giuliano Simeone
10922,344576,direct: Rayan Raveloson
3643,50570,direct: Ezequiel Lavezzi
6414,441986,direct: Yann Bisseck
12336,743386,direct: Malick Fofana
1949,39090,direct: Fredy Guarín
2347,285322,direct: Federico Ricca
5048,93142,direct: Daniel Torres
10346,333383,direct: Bonke Innocent
6348,343337,direct: Jann-Fiete Arp
7871,634461,direct: Borja Sainz
9661,391720,direct: Igor Silva
7734,129868,direct: Cristian Battocchio
8083,469949,direct: Noah Katterbach
3453,135490,direct: Lindsay Rose
8318,364239,direct: Moussa Koné
12346,872171,direct: Beraldo
2439,13038,direct: Arthur Boka
7897,147485,direct: Louis Schaub
12784,827734,direct: Ange-Yoan Bonny
7735,170911,direct: Donovan Léon
10817,806168,direct: Paul Joly
10844,717118,direct: Darline Yongwa
2556,27448,direct: Marcos Angeleri
3571,215652,direct: Rafidine Abdullah
8686,568696,direct: Cheick Tidiane Sabaly
12857,651569,direct: Daniel Mosquera
12916,937941,direct: Thierno Barry
7774,184473,direct: Haris Duljevic
12792,543537,direct: Seydouba Cissé
6355,34944,direct: Kostas Mitroglou
11834,466807,direct: Adrià Alti
12369,352041,direct: Lucas Perri
7033,185699,direct: Tim Leibold
9774,364237,direct: Mamadou Loum
1568,35537,direct: Felipe Melo
5115,50487,direct: Christian Santos
5300,296378,direct: Gian-Luca Itter
7032,279079,direct: Lukas Mühl
7540,537127,direct: Theo Sainte Luce
7852,364233,direct: Sidy Sarr
11071,598765,direct: Brian Ocampo
11825,718034,direct: Abderrahmane Rebbach
12824,806793,direct: Clément Akpa
401,62915,direct: Álvaro Domínguez
4785,120091,direct: Kassim Abdallah
4813,5676,direct: Olivier Sorlin
5628,109720,direct: Joffrey Cuffaut
7035,57091,direct: Hanno Behrens
8692,314912,direct: Jerome Hergault
8982,251813,direct: Niclas Eliasson
9008,337946,direct: Jairo Izquierdo
11504,955357,direct: Eli Junior Kroupi
2341,215,direct: Roque Santa Cruz
2999,95604,direct: Gianni Bruno
4706,79110,direct: Bangaly-Fodé Koita
4786,5698,direct: Cédric Barbosa
5178,295065,direct: Antonio Moya
7038,153637,direct: Mikael Ishak
11824,927768,direct: Lucas Pires
12734,670681,direct: João Neves
12737,438971,direct: Viti Rozada
12825,501709,direct: Theo Bair
12856,676411,direct: Dailon Livramento
215,4607,direct: Roel Brouwers
4716,164937,direct: Clarck N'Sikulu
5632,77348,direct: Julien Cetout
6333,395695,direct: Elisha Owusu
6400,302371,direct: Antonio Martínez
8151,684062,direct: Hianga'a M'Bock
8738,162652,direct: Filip Malbasic
12345,903693,direct: Senny Mayulu
12821,705395,direct: Gerard Martín
12850,461607,direct: Esteban Lepaul
141,37788,direct: Philipp Hosiner
4713,194218,direct: Yeltsin Tejeda
4758,212937,direct: Alexy Bosetti
7031,51325,direct: Georg Margreitter
7776,482072,direct: Kévin Denkey
8732,247366,direct: Marcos Mauro
9761,454238,direct: Tomás Alarcón
10814,263951,direct: Hamza Sakhi
12915,388409,direct: Philipp Sander
136,34543,direct: Dusan Svento
2349,44027,direct: Ikechukwu Uche
3787,41261,direct: Mouhamadou Habib Habibou
4101,44674,direct: Giovani dos Santos
4712,123305,direct: Djakaridja Koné
4719,111283,direct: Cédric Cambon
5631,205497,direct: Tobias Badila
5639,5345,direct: Youssouf Hadji
5697,5406,direct: Benoit Pedretti
9937,520947,direct: Santiago Arzamendia
10101,618813,direct: Carlos Martín
10813,167472,direct: Youssouf M'Changama
11991,787151,direct: Lukas Ullrich
12777,459665,direct: Patrizio Masini
12780,307058,direct: Mehdi Taremi
12901,834744,direct: Antoniu Roca
6865,259025,direct: Umut Bozok
13003,953901,direct: Santiago Mouriño
13058,783094,direct: Benjamin Bouchouari
13075,606119,direct: Phil Harres
322,111900,direct: Joo-Ho Park
3640,292822,direct: Aldo Kalulu
4717,33831,direct: Modou Sougou
5634,39924,direct: Antony Robic
5641,66791,direct: Diallo Guidileye
11894,810649,direct: Max Finkgrafe
12878,924349,direct: Issa Doumbia
439,568,direct: Martin Stranzl
3870,19726,direct: Nemanja Vidic
4162,71840,direct: Gaizka Toquero
5627,53306,direct: Guy N'Dy Assembe
7154,214346,direct: Virgil Misidjan
8938,158704,direct: Jon Ander Garrido
11119,782476,direct: Yoann Cathline
11893,542697,direct: Rasmus Carstensen
12882,667517,direct: Jordan James
12904,654991,direct: Samuel Mbangula
4277,16565,direct: Daniel Halfar
5282,160668,direct: Antonio-Mirko Colak
5629,256902,direct: Modou Diagne
7034,165331,direct: Ondrej Petrák
7039,186260,direct: Yuya Kubo
9427,472242,direct: Mehmet Can Aydin
10545,134277,direct: Julian Jeanvier
10818,743496,direct: Kévin Danois
10835,566823,direct: Achraf Dari
12716,401571,direct: Tomás Conechny
12884,452164,direct: Endrick
13100,1121298,direct: Juma Bah
3730,236414,direct: Valentin Lavigne
10074,704270,direct: Sambou Soumano
10834,379168,direct: Noah Fadiga
12977,333903,direct: Lars Ritzka
5060,139915,direct: Aleksandar Katai
5744,509234,direct: Matteo Ahlinvi
12810,484888,direct: Ibrahim Sissoko
6434,354361,common_name 'Franck Anguissa' → 'Frank Anguissa' (score=96.55172413793103)
1374,7825,common_name 'Pepe Reina' → 'Pepe Reina' (score=100.0)
6827,186186,common_name 'Bobby De Cordova-Reid' → 'Bobby De Cordova-Reid' (score=100.0)
6954,459463,common_name 'Cucho Hernandez' → 'Cucho Hernández' (score=100.0)
10872,663581,common_name 'Vini Souza' → 'Vini Souza' (score=100.0)
6557,403898,common_name 'Jordan Beyer' → 'Jordan Beyer' (score=100.0)
657,27394,common_name 'Alex Song' → 'Alex Song' (score=100.0)
1722,37941,common_name 'Camilo Zuniga' → 'Camilo Zúñiga' (score=100.0)
6538,409106,common_name 'Peter Etebo' → 'Peter Etebo' (score=100.0)
1491,20005,common_name 'Papu Gomez' → 'Papu Gómez' (score=100.0)
6708,327251,common_name 'Ridle Baku' → 'Ridle Baku' (score=100.0)
3785,344072,common_name 'Kelvin Amian' → 'Kelvin Amian' (score=100.0)
3978,73926,common_name 'Davide Faraoni' → 'Davide Faraoni' (score=100.0)
2112,39907,common_name 'Pape Diop' → 'Pape Diop' (score=100.0)
6955,167721,common_name 'Chimy Avila' → 'Chimy Ávila' (score=100.0)
6120,207834,common_name 'Yassine Bounou' → 'Yassine Bounou' (score=100.0)
8094,607223,common_name 'Rayan Cherki' → 'Rayan Cherki' (score=100.0)
6533,131275,common_name 'Choco Lozano' → 'Choco Lozano' (score=100.0)
3517,410185,common_name 'Ronael Pierre-Gabriel' → 'Ronaël Pierre-Gabriel' (score=100.0)
8949,284342,common_name 'Conan Ledesma' → 'Conan Ledesma' (score=100.0)
7937,303219,common_name 'Jeff Chabot' → 'Jeff Chabot' (score=100.0)
2532,339820,common_name 'Amath Ndiaye' → 'Amath Ndiaye' (score=100.0)
7482,624690,common_name 'Manu Kone' → 'Manu Koné' (score=100.0)
8685,670847,common_name 'Mohamed-Ali Cho' → 'Mohamed-Ali Cho' (score=100.0)
5138,341272,common_name 'Alex Pozo' → 'Álex Pozo' (score=100.0)
5113,323831,common_name 'Rafael Borre' → 'Rafael Borré' (score=100.0)
8933,481084,common_name 'Marcos Andre' → 'Marcos André' (score=100.0)
9805,636688,common_name 'Alejandro Balde' → 'Alejandro Balde' (score=100.0)
10783,422281,common_name 'Muhammed Cham' → 'Muhammed Cham' (score=100.0)
8372,620313,common_name 'Lucas Gourna-Dough' → 'Lucas Gourna-Douath' (score=91.42857142857143)
11866,193082,common_name 'Alejandro Grimaldo' → 'Alejandro Grimaldo' (score=100.0)
7981,538996,common_name 'Tanguy Nianzou' → 'Tanguy Nianzou' (score=100.0)
6487,131101,common_name 'Stiven Mendoza' → 'Stiven Mendoza' (score=100.0)
2029,30687,common_name 'Maxi Moralez' → 'Maxi Moralez' (score=100.0)
11826,431190,common_name 'Carlos Protesoni' → 'Carlos Protesoni' (score=100.0)
8271,627294,common_name 'Fer Nino' → 'Fer Niño' (score=100.0)
6706,564305,common_name 'Michel Adopo' → 'Michel Adopo' (score=100.0)
10830,939964,common_name 'Jean-Matteo Bahoya' → 'Jean-Mattéo Bahoya' (score=100.0)
2408,7631,common_name 'Carlos Gurpegi' → 'Carlos Gurpegui' (score=96.55172413793103)
7024,263801,common_name 'Kasim Adams' → 'Kasim Adams' (score=100.0)
11831,991268,common_name 'Samu Aghehowa' → 'Samu Aghehowa' (score=100.0)
4112,15790,common_name 'Ferran Corominas' → 'Ferrán Corominas' (score=100.0)
10561,941869,common_name 'Yellu Santiago' → 'Yellu Santiago' (score=100.0)
4904,323872,common_name 'Andres Cubas' → 'Andrés Cubas' (score=100.0)
5637,75645,common_name 'Maurice Dale' → 'Maurice Dalé' (score=100.0)
5124,354697,common_name 'Tachi' → 'Tachi' (score=100.0)
13201,520093,common_name 'Raul' → 'Raul' (score=100.0)
9447,673514,common_name 'Abdoulaye Ndiaye' → 'Abdoulaye Ndiaye' (score=100.0)
12168,741257,common_name 'Alex Jimenez' → 'Álex Jiménez' (score=100.0)
